timestamp,open,high,low,close,volume
2020-01-10,331.0000,337.9500,328.1000,332.2500,42377520
2020-01-09,326.9000,331.4000,325.0000,330.2000,40348407
2020-01-08,312.1000,321.5000,311.0000,319.8000,44527485
2020-01-07,324.4500,327.0000,315.4000,318.4000,50966826
2020-01-06,331.7000,331.7000,317.7000,319.0000,35645325
2020-01-03,337.9500,337.9500,332.0000,333.7000,21853208
2020-01-02,334.5000,339.8500,333.3500,339.3000,20324236
2020-01-01,334.7000,335.9500,332.1500,334.4500,17379320
2019-12-31,334.4000,336.3500,332.5500,333.7500,23801635
2019-12-30,337.7500,337.8500,332.5000,334.4000,22775554
2019-12-27,333.4000,338.3500,333.0000,337.2500,33477173
2019-12-26,333.0000,333.4500,328.1000,329.8500,24616942
2019-12-24,333.2000,334.2000,329.2000,331.4500,21747782
2019-12-23,335.7000,338.8500,330.3500,332.4000,30150335
2019-12-20,330.3500,339.5000,330.3500,337.8500,51839714
2019-12-19,327.3500,329.6000,324.5000,328.1500,27516289
2019-12-18,335.0000,335.5500,325.8000,326.9500,26449075
2019-12-17,333.2500,335.7500,330.6500,332.9000,26734601
2019-12-16,335.9500,337.2500,330.8000,331.8500,35027613
2019-12-13,325.2000,333.4500,325.0000,332.5500,40955226
2019-12-12,314.0000,322.9500,313.5500,321.8500,37804216
2019-12-11,311.2000,315.7500,308.0000,312.8000,52557951
2019-12-10,317.2000,322.6500,312.2500,313.4000,52155809
2019-12-09,318.9500,327.6500,314.7500,316.7000,52435239
2019-12-06,336.7000,337.6500,318.0000,320.0000,47027528
2019-12-05,343.0000,344.6000,335.1500,336.2000,30429507
2019-12-04,334.1000,342.9500,331.8500,341.8500,26789483
2019-12-03,341.0000,342.9500,333.3500,336.2500,26482178
2019-12-02,343.9000,344.3500,336.2000,338.5000,20648850
2019-11-29,348.8500,348.8500,340.6000,341.8500,23081823
2019-11-28,346.8500,351.0000,344.5000,349.3000,42538227
2019-11-27,335.9500,345.5500,334.0500,343.5500,33971305
2019-11-26,338.0000,340.0000,332.6000,335.5000,36464072
2019-11-25,329.0000,337.5000,328.3500,336.1000,27561300
2019-11-22,331.4500,333.8000,328.2500,329.3000,28974967
2019-11-21,329.2500,332.8500,326.5500,331.3500,34116162
2019-11-20,332.0000,332.5000,325.1000,328.8000,29972583
2019-11-19,325.8000,331.8000,322.1000,330.4000,41372145
2019-11-18,324.0000,329.8500,323.7500,325.1000,39009263
2019-11-15,312.0000,323.7000,310.0500,321.9000,95199897
2019-11-14,306.9500,309.5000,299.7000,306.0000,43617772
2019-11-13,316.0500,318.6000,305.6500,306.8000,32675829
2019-11-11,314.7000,319.6500,313.1000,318.2500,20491942
2019-11-08,316.2000,321.0000,314.5000,316.0000,25423362
2019-11-07,318.2500,323.3000,316.8000,318.1500,33926772
2019-11-06,318.9500,318.9500,314.0000,317.5500,32157080
2019-11-05,313.9000,322.0000,312.8000,319.2000,50080853
